Aargang,Sektor,AU,CBS,KU,RUC,SDU,AAU
2007," 4,286 "," 1,764 ", 698 ," 1,824 ", 579 ," 1,338 ", 811 
2008," 5,674 "," 1,579 ", 592 ," 1,644 ", 606 , 843 , 410 
2009," 6,680 "," 1,787 ", 511 ," 1,895 ", 595 ," 1,217 ", 675 
2010," 7,438 "," 2,205 ", 576 ," 1,938 ", 615 ," 1,298 ", 806 
2011," 7,735 "," 1,806 ", 602 ," 2,006 ", 605 ," 1,732 ", 984 
2012," 8,100 "," 1,791 ", 600 ," 2,121 ", 658 ," 1,743 "," 1,187 "
2013," 8,556 "," 1,797 ", 599 ," 2,301 ", 673 ," 1,832 "," 1,354 "
2014," 8,402 "," 1,750 ", 491 ," 2,411 ", 720 ," 1,793 "," 1,237 "
2015," 8,130 "," 1,747 ", 472 ," 2,360 ", 647 ," 1,678 "," 1,226 "
2016,"7,766","1,774",394,"2,073",599,"1,591","1,335"
2017,"7,236","1,760",283,"1,955",555,"1,349","1,334"
2018,"6,755","1,673",125,"1,756",652,"1,256","1,293.0"
2019,"6,553","1,826",,1815,575,"1,182","1,155"
2020,"6,910","1,919",,"1,834",567,"1,201","1,389"
