"","Uni","Type_studieaktivitet","Type_studieaktivitet2","Aargang","Antal"
"1","SDU","Optag","Antal optagne på bacheloruddannelsen",2007,3139
"2","SDU","Optag","Antal optagne på kandidatuddannelsen",2007,1337
"3","SDU","Optag","Antal optagne på bacheloruddannelsen",2008,2519
"4","SDU","Optag","Antal optagne på kandidatuddannelsen",2008,1377
"5","SDU","Optag","Antal optagne på bacheloruddannelsen",2009,3216
"6","SDU","Optag","Antal optagne på kandidatuddannelsen",2009,1703
"7","SDU","Optag","Antal optagne på bacheloruddannelsen",2010,3728
"8","SDU","Optag","Antal optagne på kandidatuddannelsen",2010,2095
"9","SDU","Optag","Antal optagne på bacheloruddannelsen",2011,4541
"10","SDU","Optag","Antal optagne på kandidatuddannelsen",2011,2125
"11","SDU","Optag","Antal optagne på bacheloruddannelsen",2012,4969
"12","SDU","Optag","Antal optagne på kandidatuddannelsen",2012,2483
"13","SDU","Optag","Antal optagne på bacheloruddannelsen",2013,5190
"14","SDU","Optag","Antal optagne på kandidatuddannelsen",2013,2970
"15","SDU","Optag","Antal optagne på bacheloruddannelsen",2014,5673
"16","SDU","Optag","Antal optagne på kandidatuddannelsen",2014,3463
"17","SDU","Optag","Antal optagne på bacheloruddannelsen",2015,5347
"18","SDU","Optag","Antal optagne på kandidatuddannelsen",2015,3661
"19","SDU","Optag","Antal optagne på bacheloruddannelsen",2016,5269
"20","SDU","Optag","Antal optagne på kandidatuddannelsen",2016,3525
"21","SDU","Optag","Antal optagne på bacheloruddannelsen",2017,4947
"22","SDU","Optag","Antal optagne på kandidatuddannelsen",2017,3423
"23","SDU","Optag","Antal optagne på bacheloruddannelsen",2018,4909
"24","SDU","Optag","Antal optagne på kandidatuddannelsen",2018,3710
"25","SDU","Optag","Antal optagne på bacheloruddannelsen",2019,4855
"26","SDU","Optag","Antal optagne på kandidatuddannelsen",2019,3423
