"","Uni","Type_studieaktivitet","Type_studieaktivitet2","Aargang","Antal"
"1","SDU","Optag","Antal optagne på bacheloruddannelsen",2007,3139
"2","SDU","Optag","Antal optagne på bacheloruddannelsen",2008,2519
"3","SDU","Optag","Antal optagne på bacheloruddannelsen",2009,3216
"4","SDU","Optag","Antal optagne på bacheloruddannelsen",2010,3728
"5","SDU","Optag","Antal optagne på bacheloruddannelsen",2011,4541
"6","SDU","Optag","Antal optagne på bacheloruddannelsen",2012,4969
"7","SDU","Optag","Antal optagne på bacheloruddannelsen",2013,5190
"8","SDU","Optag","Antal optagne på bacheloruddannelsen",2014,5673
"9","SDU","Optag","Antal optagne på bacheloruddannelsen",2015,5347
"10","SDU","Optag","Antal optagne på bacheloruddannelsen",2016,5269
"11","SDU","Optag","Antal optagne på bacheloruddannelsen",2017,4947
"12","SDU","Optag","Antal optagne på bacheloruddannelsen",2018,4909
"13","SDU","Optag","Antal optagne på bacheloruddannelsen",2019,4855
