"","Uni","Type_studieaktivitet","Type_studieaktivitet2","Aargang","Antal"
"1","SDU","Optag","Antal optagne på kandidatuddannelsen",2007,1337
"2","SDU","Optag","Antal optagne på kandidatuddannelsen",2008,1377
"3","SDU","Optag","Antal optagne på kandidatuddannelsen",2009,1703
"4","SDU","Optag","Antal optagne på kandidatuddannelsen",2010,2095
"5","SDU","Optag","Antal optagne på kandidatuddannelsen",2011,2125
"6","SDU","Optag","Antal optagne på kandidatuddannelsen",2012,2483
"7","SDU","Optag","Antal optagne på kandidatuddannelsen",2013,2970
"8","SDU","Optag","Antal optagne på kandidatuddannelsen",2014,3463
"9","SDU","Optag","Antal optagne på kandidatuddannelsen",2015,3661
"10","SDU","Optag","Antal optagne på kandidatuddannelsen",2016,3525
"11","SDU","Optag","Antal optagne på kandidatuddannelsen",2017,3423
"12","SDU","Optag","Antal optagne på kandidatuddannelsen",2018,3710
"13","SDU","Optag","Antal optagne på kandidatuddannelsen",2019,3423
