"","Aargang","AU","CBS","DTU","ITU","KU","RUC","SDU","AAU"
"1",2007,3365,2162,636,277,3656,1058,1337,1432
"2",2008,3748,2424,771,268,4153,1074,1377,1458
"3",2009,4537,2526,1046,335,4459,1366,1703,1777
"4",2010,4790,2766,1220,418,4516,1205,2095,2071
"5",2011,4794,2922,1112,417,5113,1216,2125,2261
"6",2012,4598,2995,1136,491,5142,1169,2483,2865
"7",2013,5780,3233,1292,472,5586,1275,2970,3520
"8",2014,5493,3282,1403,441,5564,1334,3463,3854
"9",2015,5487,3185,1682,412,5799,1159,3661,3712
"10",2016,5846,3306,1862,479,6425,1440,3525,3955
"11",2017,5767,3389,1853,498,6106,1584,3423,3966
"12",2018,5898,3333,1752,517,5957,1398,3710,3787
"13",2019,5839,3004,2013,507,5917,1363,3423,3730
